pedestrianId evacuationTime-PID1
1 30.799999999999955
2 30.399999999999892
3 30.40000000000036
4 30.400000000000432
5 30.400000000000432
6 30.400000000000432
7 30.400000000000432
8 30.400000000000432
9 30.39999999999941
10 30.399999999998272
11 30.399999999998272
12 30.399999999998272
13 30.399999999998272
14 30.399999999998272
15 30.399999999998272
16 30.399999999998272
17 30.399999999998272
18 30.39999999999833
19 30.399999999998272
20 30.399999999998272
21 30.399999999998272
22 30.399999999998272
23 30.399999999998272
24 30.399999999998272
25 30.399999999998272
26 30.399999999998272
27 30.399999999998272
28 30.399999999998272
29 30.399999999998272
30 30.399999999998272
31 30.399999999998272
32 30.399999999998272
33 30.399999999998272
34 30.399999999998272
35 30.400000000005775
36 30.400000000006912
37 30.400000000006912
38 30.400000000006912
39 30.400000000006912
40 30.400000000006912
